UNIQUD,NAME,Fold change (Stage1 DAM to Stage2 DAM),Z-value (Mann Whitney), -log10(p-value) Mann Whitney
Naa40,Naa40,-0.0427,-2.8499,2.3593
Naa50,Naa50,-0.008,-3.5469,3.4092
Naaa,Naaa,0.0356,-2.1843,1.5385
Naalad2,Naalad2,-0.0646,-3.9217,4.0559
Naaladl1,Naaladl1,0,,
Nab1,Nab1,0.1101,-1.5537,0.9199
Nab2,Nab2,-0.0448,-3.6542,3.5885
Naca,Naca,-0.0284,-3.0392,2.6249
Nacad,Nacad,0,,
Nacc1,Nacc1,0.0053,-1.7943,1.1381
Nacc2,Nacc2,-0.0251,-2.6205,2.0565
Nadk,Nadk,-0.0246,-3.3327,3.0655
Nadsyn1,Nadsyn1,-0.0073,-1.8137,1.1566
Nae1,Nae1,0.0334,-0.2167,0.0817
Naf1,Naf1,-0.0522,-3.0999,2.7132
Naga,Naga,-0.0658,-4.073,4.3334
Nagk,Nagk,0.0377,-1.4202,0.8081
Naglu,Naglu,-0.3238,-8.7623,17.7184
Nagpa,Nagpa,-0.1052,-4.5576,5.2861
Nags,Nags,0,,
Naif1,Naif1,0.0021,-0.5167,0.218
Naip1,Naip1,0,,
Naip2,Naip2,-0.0164,-3.2284,2.905
Naip3,Naip3,0,,
Naip5,Naip5,-0.0214,-1.6332,0.9896
Naip6,Naip6,0.0097,-0.5598,0.2399
Nalcn,Nalcn,0,,
Nampt,Nampt,-0.0451,-4.2262,4.6241
Nanog,Nanog,0,,
Nanos1,Nanos1,0.0007,-1.7969,1.1405
Nanos2,Nanos2,0,,
Nanos3,Nanos3,0,,
Nanp,Nanp,0,,
Nans,Nans,-0.0407,-3.5849,3.4721
Nap1l1,Nap1l1,0.0963,-0.8425,0.3985
Nap1l2,Nap1l2,0,,
Nap1l3,Nap1l3,0,,
Nap1l4,Nap1l4,0.1119,0.7362,0.3357
Nap1l5,Nap1l5,0.0219,1.2069,0.6431
Napa,Napa,-0.1341,-7.9441,14.7085
Napb,Napb,0.0058,0.6927,0.3111
Napepld,Napepld,0.0013,-1.2942,0.7086
Napg,Napg,-0.0129,-0.6156,0.2691
Naprt1,Naprt1,0,-0.7455,0.341
Napsa,Napsa,-0.0027,-0.5167,0.218
Narf,Narf,-0.0235,-1.0616,0.54
Narfl,Narfl,-0.0321,-3.3598,3.1079
Narg2,Narg2,0.0069,-0.9001,0.4341
Nars,Nars,0.0479,-1.9917,1.3334
Nars2,Nars2,0.0181,-0.0238,0.0083
Nasp,Nasp,0.0297,0.1557,0.0574
Nat1,Nat1,-0.0017,-1.431,0.8169
Nat10,Nat10,0.0249,-0.2156,0.0813
Nat14,Nat14,-0.0009,-1.431,0.8169
Nat15,Nat15,0.0275,-1.8736,1.2147
Nat2,Nat2,-0.0116,-2.5647,1.986
Nat3,Nat3,0,,
Nat6,Nat6,0.0111,-1.1302,0.5877
Nat8,Nat8,0,,
Nat8b,Nat8b,0,,
Nat8l,Nat8l,-0.0173,-4.5807,5.3341
Nat9,Nat9,0.0361,-1.698,1.0482
Nav1,Nav1,-0.0562,-3.3625,3.1122
Nav2,Nav2,0.0457,0.4142,0.1683
Nav3,Nav3,-0.0247,-3.2171,2.8878
Nbas,Nbas,0.031,-0.639,0.2817
Nbea,Nbea,0.009,0.8406,0.3973
Nbeal1,Nbeal1,0.0102,-0.4856,0.2026
Nbeal2,Nbeal2,-0.0211,-2.8217,2.3209
Nbl1,Nbl1,-0.1227,-6.8589,11.1587
Nbn,Nbn,0.0124,-0.5058,0.2125
Nbr1,Nbr1,0.0402,-1.1737,0.6188
Ncald,Ncald,0,,
Ncam1,Ncam1,0,,
Ncam2,Ncam2,0,,
Ncan,Ncan,0,,
Ncapd2,Ncapd2,0.0062,-0.5167,0.218
Ncapd3,Ncapd3,0.0049,0.6015,0.2616
Ncapg,Ncapg,0.0017,0.6927,0.3111
Ncapg2,Ncapg2,-0.0184,-2.6613,2.1087
Ncaph,Ncaph,0.0087,1.3956,0.7883
Ncaph2,Ncaph2,0.0298,-1.5494,0.9162
Ncbp1,Ncbp1,0.036,-1.3937,0.7868
Ncbp2,Ncbp2,0.0572,-1.0504,0.5323
Nccrp1,Nccrp1,0,,
Ncdn,Ncdn,-0.0489,-1.9195,1.2603
Nceh1,Nceh1,-0.2942,-9.9329,22.5236
Ncf1,Ncf1,-0.0077,-3.8702,3.9636
Ncf2,Ncf2,-0.1476,-5.9938,8.6882
Ncf4,Ncf4,0.0079,-1.9497,1.2906
Nck1,Nck1,-0.0427,-4.2287,4.6288
Nck2,Nck2,0,,
Nckap1,Nckap1,-0.0069,-1.431,0.8169
Nckap1l,Nckap1l,0.1686,-1.2578,0.6809
Nckap5,Nckap5,0,,
Nckap5l,Nckap5l,-0.0594,-3.4565,3.2619
Nckipsd,Nckipsd,0.0249,-2.4037,1.7897
Ncl,Ncl,0.4584,0.366,0.1461
Ncln,Ncln,-0.0249,-3.8223,3.8787
Ncoa1,Ncoa1,-0.0447,-3.4978,3.3288
Ncoa2,Ncoa2,0.0777,1.5112,0.8836
Ncoa3,Ncoa3,-0.0192,-3.5508,3.4156
Ncoa4,Ncoa4,0.0136,-0.7357,0.3354
Ncoa5,Ncoa5,0.015,-2.2705,1.635
Ncoa6,Ncoa6,0.0185,-1.8623,1.2037
Ncoa7,Ncoa7,-0.0302,-2.5617,1.9823
Ncor1,Ncor1,0.2478,-1.6786,1.0304
Ncor2,Ncor2,-0.0064,-3.0363,2.6207
Ncr1,Ncr1,0,,
Ncr3-ps,Ncr3-ps,0,,
Ncrna00085,Ncrna00085,0.0037,0.6927,0.3111
Ncrna00086,Ncrna00086,0.0026,-1.8012,1.1447
Ncs1,Ncs1,-0.0194,-2.5558,1.9749
Ncstn,Ncstn,-0.0571,-3.2075,2.8732
Nctc1,Nctc1,0,,
Ndc80,Ndc80,0.0062,0.9835,0.4876
Nde1,Nde1,0.0085,-0.9627,0.4741
Ndel1,Ndel1,-0.0606,-2.2085,1.5653
Ndfip1,Ndfip1,0.0386,-0.5319,0.2256
Ndfip2,Ndfip2,0.0613,-2.8882,2.4118
Ndn,Ndn,0,,
Ndnl2,Ndnl2,-0.012,-3.2043,2.8684
Ndor1,Ndor1,-0.0269,-2.5362,1.9505
Ndp,Ndp,0,,
Ndrg1,Ndrg1,-0.0151,-1.2549,0.6788
Ndrg2,Ndrg2,0.0745,0.5494,0.2345
Ndrg3,Ndrg3,0.0716,-3.418,3.2001
Ndrg4,Ndrg4,-0.0298,-1.8054,1.1486
Ndst1,Ndst1,-0.0311,-3.4138,3.1934
Ndst2,Ndst2,0.0327,-1.0199,0.5117
Ndst3,Ndst3,0,,
Ndst4,Ndst4,0,,
Ndufa1,Ndufa1,-0.1583,-5.8874,8.4064
Ndufa10,Ndufa10,0.0165,-3.703,3.6715
Ndufa11,Ndufa11,-0.0229,-2.8062,2.2999
Ndufa12,Ndufa12,0.0761,-1.4522,0.8343
Ndufa13,Ndufa13,0.0514,-3.6873,3.6446
Ndufa2,Ndufa2,0.0766,-3.114,2.7338
Ndufa3,Ndufa3,0.1507,-1.6373,0.9932
Ndufa4,Ndufa4,0.006,-4.0039,4.2054
Ndufa4l2,Ndufa4l2,0,,
Ndufa5,Ndufa5,0.0321,-1.8108,1.1539
Ndufa6,Ndufa6,0.0236,-4.4197,5.0051
Ndufa7,Ndufa7,-0.1021,-5.1706,6.6319
Ndufa8,Ndufa8,0.1001,-0.2542,0.0973
Ndufa9,Ndufa9,0.0185,-3.2968,3.0096
Ndufab1,Ndufab1,-0.0166,-1.8765,1.2177
Ndufaf1,Ndufaf1,-0.0116,-1.2597,0.6824
Ndufaf2,Ndufaf2,0.0504,-0.8385,0.3961
Ndufaf3,Ndufaf3,0.0356,-1.4416,0.8256
Ndufaf4,Ndufaf4,-0.0258,-3.1009,2.7146
Ndufb10,Ndufb10,0.1712,-3.4572,3.2629
Ndufb11,Ndufb11,0.0587,-3.803,3.8448
Ndufb2,Ndufb2,-0.0456,-3.4901,3.3163
Ndufb3,Ndufb3,-0.0181,-2.8095,2.3043
Ndufb4,Ndufb4,0.0191,-2.6771,2.1292
Ndufb5,Ndufb5,0.0815,-3.3157,3.039
Ndufb6,Ndufb6,-0.0485,-3.9658,4.1358
Ndufb7,Ndufb7,0.1595,-0.6234,0.2732
Ndufb8,Ndufb8,0.1183,-2.0274,1.3703
Ndufb9,Ndufb9,0.1402,-1.8256,1.168
Ndufc1,Ndufc1,-0.0397,-3.6414,3.5667
Ndufc2,Ndufc2,-0.018,-5.6305,7.7455
Ndufs1,Ndufs1,0.0098,-2.0704,1.4155
Ndufs2,Ndufs2,-0.0098,-2.1564,1.5079
Ndufs3,Ndufs3,-0.0117,-2.8284,2.3299
Ndufs4,Ndufs4,0.0201,-3.0519,2.6432
Ndufs5,Ndufs5,0.0104,-1.7496,1.0959
Ndufs6,Ndufs6,0.1584,-1.0876,0.5579
Ndufs7,Ndufs7,0.0103,-3.5695,3.4466
Ndufs8,Ndufs8,0.0237,-2.8183,2.3163
Ndufv1,Ndufv1,0.0217,-1.2039,0.6408
Ndufv2,Ndufv2,-0.0663,-4.7594,5.7119
Ndufv3,Ndufv3,-0.0744,-5.5786,7.6154
Neat1,Neat1,-0.0444,-2.2767,1.642
Neb,Neb,0,,
Nebl,Nebl,0.0067,0.6927,0.3111
Necab1,Necab1,0,,
Necab2,Necab2,-0.0009,-1.431,0.8169
Necab3,Necab3,0,,
Necap1,Necap1,-0.0192,-1.4742,0.8526
Necap2,Necap2,0.0838,-1.4206,0.8085
Nedd1,Nedd1,0.0107,-0.245,0.0934
Nedd4,Nedd4,-0.0103,-1.2597,0.6824
Nedd4l,Nedd4l,-0.0048,-1.1541,0.6047
Nedd8,Nedd8,0.1077,-2.2586,1.6214
Nedd9,Nedd9,-0.0051,-2.0286,1.3716
Nefh,Nefh,0.0029,0.6927,0.3111
Nefl,Nefl,-0.0196,-2.4881,1.8914
Nefm,Nefm,0,,
Negr1,Negr1,0,,
Neil1,Neil1,0.0035,-2.164,1.5162
Neil2,Neil2,-0.0222,-2.0286,1.3716
Neil3,Neil3,-0.0103,-1.431,0.8169
Nek1,Nek1,-0.0154,-1.3955,0.7882
Nek10,Nek10,0,,
Nek11,Nek11,0,,
Nek2,Nek2,0.0008,0.6927,0.3111
Nek3,Nek3,-0.0051,-2.0286,1.3716
Nek4,Nek4,0.011,-1.7713,1.1163
Nek5,Nek5,0,,
Nek6,Nek6,0.043,-4.6019,5.3782
Nek7,Nek7,0.0279,-3.3098,3.0298
Nek8,Nek8,0.012,1.2069,0.6431
Nek9,Nek9,0.0144,-1.1864,0.6281
Nelf,Nelf,-0.003,-1.2549,0.6788
Nell1,Nell1,0,,
Nell2,Nell2,0,,
Nemf,Nemf,0.1027,0.2429,0.0925
Nenf,Nenf,-0.0469,-5.4749,7.3587
Neo1,Neo1,0.0074,-1.7713,1.1163
Nepn,Nepn,0,,
Nes,Nes,0.1375,2.6395,2.0807
Nespas,Nespas,0,,
Net1,Net1,0,,
Neto1,Neto1,0,,
Neto2,Neto2,-0.0118,-2.2231,1.5816
Neu1,Neu1,-0.0802,-4.8415,5.8898
Neu2,Neu2,0,,
Neu3,Neu3,0,,
Neu4,Neu4,0,,
Neurl1a,Neurl1a,-0.0435,-4.019,4.2332
Neurl1b,Neurl1b,-0.0022,-1.2525,0.6769
Neurl2,Neurl2,0.0095,-0.3408,0.1347
Neurl3,Neurl3,0.036,0.4253,0.1735
Neurl4,Neurl4,0.0226,0.2476,0.0945
Neurod1,Neurod1,0,,
Neurod2,Neurod2,0,,
Neurod4,Neurod4,0,,
Neurod6,Neurod6,0,,
Neurog1,Neurog1,0,,
Neurog2,Neurog2,0,,
Neurog3,Neurog3,0,,
Nexn,Nexn,-0.0887,-4.974,6.1833
Nf1,Nf1,0.033,-2.0546,1.3988
Nf2,Nf2,0.0645,-1.656,1.01
Nfam1,Nfam1,0.0347,-4.3984,4.9623
Nfasc,Nfasc,-0.0103,-1.431,0.8169
Nfat5,Nfat5,-0.0726,-3.4302,3.2196
Nfatc1,Nfatc1,-0.133,-6.0826,8.9271
Nfatc2,Nfatc2,-0.0069,-1.0896,0.5593
Nfatc2ip,Nfatc2ip,-0.0086,-2.0286,1.3716
Nfatc3,Nfatc3,0.0152,-2.1008,1.4478
Nfatc4,Nfatc4,0,,
Nfe2,Nfe2,0,,
Nfe2l1,Nfe2l1,0.0307,-3.4061,3.1811
Nfe2l2,Nfe2l2,-0.2858,-7.3043,12.5548
Nfe2l3,Nfe2l3,0,,
Nfia,Nfia,0.1459,0.219,0.0827
Nfib,Nfib,0.0104,0.9835,0.4876
Nfic,Nfic,-0.0101,-2.9008,2.4292
Nfil3,Nfil3,-0.0193,-2.2029,1.5591
Nfix,Nfix,0.1143,0.6035,0.2627
Nfkb1,Nfkb1,0.011,-2.4162,1.8045
Nfkb2,Nfkb2,-0.0016,-1.7688,1.1139
Nfkbia,Nfkbia,-0.7555,-6.5715,10.3026
Nfkbib,Nfkbib,-0.0696,-5.5938,7.6534
Nfkbid,Nfkbid,-0.0355,-2.6427,2.0848
Nfkbie,Nfkbie,-0.0013,-2.1765,1.5299
Nfkbil1,Nfkbil1,-0.0029,-1.038,0.5239
Nfkbiz,Nfkbiz,-0.3038,-5.9866,8.6689
Nfrkb,Nfrkb,0.0057,-0.7441,0.3402
Nfs1,Nfs1,0.0106,-0.4237,0.1728
Nfu1,Nfu1,0.0092,-1.7769,1.1215
Nfx1,Nfx1,0.0216,-0.7214,0.3273
Nfxl1,Nfxl1,-0.0037,-3.5585,3.4283
Nfya,Nfya,-0.1876,-6.027,8.7773
Nfyb,Nfyb,0.0005,-0.8954,0.4311
Nfyc,Nfyc,-0.0361,-4.4963,5.1603
Ng23,Ng23,-0.0154,-1.431,0.8169
Ngb,Ngb,0,,
Ngdn,Ngdn,-0.0024,-1.3471,0.7497
Ngef,Ngef,-0.006,-1.431,0.8169
Ngf,Ngf,0,,
Ngfr,Ngfr,0,,
Ngfrap1,Ngfrap1,0.0044,-1.8125,1.1554
Ngly1,Ngly1,0.0659,-0.5859,0.2534
Ngp,Ngp,0.0233,0.2413,0.0919
Ngrn,Ngrn,-0.0102,-2.8376,2.3425
Nhedc1,Nhedc1,0,,
Nhedc2,Nhedc2,-0.0043,-1.431,0.8169
Nhej1,Nhej1,0.0186,-0.0168,0.0059
Nhlh1,Nhlh1,0,,
Nhlh2,Nhlh2,0,,
Nhlrc1,Nhlrc1,0.0071,0.9835,0.4876
Nhlrc2,Nhlrc2,-0.016,-2.1849,1.5391
Nhlrc3,Nhlrc3,-0.0764,-4.2322,4.6357
Nhlrc4,Nhlrc4,0,,
Nhp2,Nhp2,0.0549,-2.3604,1.7386
Nhp2l1,Nhp2l1,0.0094,-1.6186,0.9766
Nhs,Nhs,-0.0026,-1.431,0.8169
Nhsl1,Nhsl1,0,,
Nhsl2,Nhsl2,0.0083,0.9835,0.4876
Niacr1,Niacr1,-0.0872,-6.0923,8.9534
Nicn1,Nicn1,-0.0407,-2.1986,1.5543
Nid1,Nid1,0,,
Nid2,Nid2,-0.0167,-2.2662,1.6301
Nif3l1,Nif3l1,0.0405,-0.7441,0.3402
Nin,Nin,-0.0341,-1.9546,1.2956
Ninj1,Ninj1,0.114,-1.6278,0.9847
Ninj2,Ninj2,0,,
Ninl,Ninl,-0.0009,-1.431,0.8169
Nip7,Nip7,0.0322,-1.7666,1.1118
Nipa1,Nipa1,-0.021,-2.2588,1.6217
Nipa2,Nipa2,0.0033,-2.4629,1.8607
Nipal1,Nipal1,0,,
Nipal2,Nipal2,0,,
Nipal3,Nipal3,-0.0165,-4.3859,4.9375
Nipal4,Nipal4,0,,
Nipbl,Nipbl,0.1321,-0.8274,0.3893
Nipsnap1,Nipsnap1,-0.0129,-2.6544,2.1
Nipsnap3a,Nipsnap3a,0,,
Nipsnap3b,Nipsnap3b,0.0187,-1.0879,0.5581
Nisch,Nisch,0.0192,-2.9049,2.4348
Nit1,Nit1,-0.0231,-2.8357,2.3398
Nit2,Nit2,-0.0612,-2.2138,1.5712
Nkain1,Nkain1,-0.0145,-1.431,0.8169
Nkain2,Nkain2,0,,
Nkain3,Nkain3,0,,
Nkain4,Nkain4,-0.0049,-0.5167,0.218
Nkap,Nkap,0.0851,-1.035,0.5219
Nkapl,Nkapl,0.0021,0.6927,0.3111
Nkd1,Nkd1,0,,
Nkd2,Nkd2,0,,
Nkg7,Nkg7,0,,
Nkiras1,Nkiras1,-0.0103,-1.5445,0.912
Nkiras2,Nkiras2,0.0177,-3.319,3.044
Nkpd1,Nkpd1,0,,
Nkrf,Nkrf,-0.0111,-2.8765,2.3957
Nktr,Nktr,0.0024,-2.0566,1.4009
Nkx1-1,Nkx1-1,0,,
Nkx1-2,Nkx1-2,0,,
Nkx2-1,Nkx2-1,0,,
Nkx2-2,Nkx2-2,0,,
Nkx2-2as,Nkx2-2as,0,,
Nkx2-3,Nkx2-3,0,,
Nkx2-4,Nkx2-4,0,,
Nkx2-5,Nkx2-5,0,,
Nkx2-6,Nkx2-6,0,,
Nkx2-9,Nkx2-9,0,,
Nkx3-1,Nkx3-1,0,,
Nkx3-2,Nkx3-2,0,,
Nkx6-1,Nkx6-1,0,,
Nkx6-2,Nkx6-2,0,,
Nkx6-3,Nkx6-3,0,,
Nle1,Nle1,-0.0069,-2.0286,1.3716
Nlgn1,Nlgn1,0,,
Nlgn2,Nlgn2,-0.0103,-2.4881,1.8914
Nlgn3,Nlgn3,0.0127,-0.6746,0.3011
Nlk,Nlk,-0.0056,-2.0947,1.4413
Nlk-ps1,Nlk-ps1,0,,
Nln,Nln,-0.0328,-3.6524,3.5853
Nlrc3,Nlrc3,0,,
Nlrc4,Nlrc4,0,,
Nlrc5,Nlrc5,-0.0007,-1.4533,0.8352
Nlrp10,Nlrp10,0,,
Nlrp12,Nlrp12,0,,
Nlrp14,Nlrp14,0,,
Nlrp1a,Nlrp1a,0.0073,-0.0216,0.0075
Nlrp1b,Nlrp1b,0.0029,0.9835,0.4876
Nlrp1c-ps,Nlrp1c-ps,0,,
Nlrp2,Nlrp2,0,,
Nlrp3,Nlrp3,-0.0984,-2.4914,1.8953
Nlrp4a,Nlrp4a,0,,
Nlrp4b,Nlrp4b,0,,
Nlrp4c,Nlrp4c,0,,
Nlrp4d,Nlrp4d,0,,
Nlrp4e,Nlrp4e,0,,
Nlrp4f,Nlrp4f,0,,
Nlrp5,Nlrp5,0,,
Nlrp6,Nlrp6,0,,
Nlrp9a,Nlrp9a,0,,
Nlrp9b,Nlrp9b,0,,
Nlrp9c,Nlrp9c,0,,
Nlrx1,Nlrx1,-0.014,-1.8043,1.1476
Nmb,Nmb,0.0034,0.1525,0.0561
Nmbr,Nmbr,0,,
Nmd3,Nmd3,0.0076,-0.8005,0.3732
Nme1,Nme1,0.011,-3.631,3.5492
Nme2,Nme2,0.1477,-1.7641,1.1095
Nme3,Nme3,-0.0526,-4.7051,5.5957
Nme4,Nme4,0.0128,-0.5167,0.218
Nme5,Nme5,0,,
Nme6,Nme6,-0.008,-1.8965,1.2374
Nme7,Nme7,-0.0128,-1.431,0.8169
Nmi,Nmi,0.0234,-0.1803,0.0671
Nmnat1,Nmnat1,0.0046,0.6927,0.3111
Nmnat2,Nmnat2,0,,
Nmnat3,Nmnat3,-0.0069,-2.0286,1.3716
Nmral1,Nmral1,0.0076,-0.4764,0.198
Nms,Nms,0,,
Nmt1,Nmt1,-0.1839,-6.4795,10.0362
Nmt2,Nmt2,0.0238,-0.5711,0.2457
Nmu,Nmu,0,,
Nmur1,Nmur1,0,,
Nmur2,Nmur2,0,,
Nnat,Nnat,0,,
Nnmt,Nnmt,0,,
Nnt,Nnt,-0.0032,-3.3086,3.028
Nob1,Nob1,-0.0105,-1.3814,0.7768
Nobox,Nobox,0,,
Noc3l,Noc3l,0.0027,-2.2441,1.6051
Noc4l,Noc4l,0.0385,-0.4711,0.1955
Nod1,Nod1,-0.0209,-3.0087,2.5811
Nod2,Nod2,-0.0017,-1.431,0.8169
Nodal,Nodal,0,,
Nog,Nog,0,,
Nol10,Nol10,0.0051,0.4651,0.1926
Nol11,Nol11,0.005,-2.4276,1.8181
Nol12,Nol12,0.0568,-1.1211,0.5813
Nol3,Nol3,0,,
Nol4,Nol4,0,,
Nol6,Nol6,0.0045,0.1879,0.0701
Nol7,Nol7,0.0717,-1.4178,0.8062
Nol8,Nol8,0.0064,-0.3999,0.1616
Nol9,Nol9,0.0238,1.0502,0.5322
Nolc1,Nolc1,0.0542,0.1328,0.0485
Nom1,Nom1,0.0172,-2.4401,1.8331
Nomo1,Nomo1,0.03,-0.1726,0.064
Nono,Nono,0.0652,-1.4249,0.8119
Nop10,Nop10,0.1136,-0.2133,0.0803
Nop14,Nop14,-0.008,-1.6144,0.9729
Nop16,Nop16,0.0346,0.1747,0.0648
Nop2,Nop2,0.0342,-1.7648,1.1102
Nop56,Nop56,0.0135,-0.3026,0.118
Nop58,Nop58,-0.0102,-2.9238,2.4612
Nos1,Nos1,0,,
Nos1ap,Nos1ap,0,,
Nos2,Nos2,0,,
Nos3,Nos3,0,,
Nosip,Nosip,0.0694,0.009,0.0031
Nostrin,Nostrin,0,,
Notch1,Notch1,0.0245,-1.4605,0.8412
Notch2,Notch2,-0.0435,-3.8446,3.9181
Notch3,Notch3,0,,
Notch4,Notch4,-0.0007,-1.3035,0.7158
Noto,Noto,0,,
Notum,Notum,0,,
Nov,Nov,0,,
Nova1,Nova1,-0.0124,-0.5226,0.2209
Nova2,Nova2,0,,
Nox1,Nox1,0,,
Nox3,Nox3,0,,
Nox4,Nox4,0,,
Noxa1,Noxa1,0,,
Noxo1,Noxo1,-0.0061,-0.5226,0.2209
Npas1,Npas1,0,,
Npas2,Npas2,-0.0069,-1.431,0.8169
Npas3,Npas3,0.005,0.6927,0.3111
Npas4,Npas4,0,,
Npat,Npat,-0.0189,-1.8591,1.2006
Npb,Npb,0,,
Npbwr1,Npbwr1,0,,
Npc1,Npc1,-0.0434,-5.224,6.7568
Npc1l1,Npc1l1,0,,
Npc2,Npc2,-0.2434,-4.6024,5.3793
Npcd,Npcd,0.0199,0.8389,0.3963
Npdc1,Npdc1,0,,
Npepl1,Npepl1,-0.0001,-1.5509,0.9175
Npepps,Npepps,0.0615,-0.8953,0.4311
Npff,Npff,0,,
Npffr1,Npffr1,0,,
Npffr2,Npffr2,0,,
Nphp1,Nphp1,-0.0013,-0.5693,0.2447
Nphp3,Nphp3,0,,
Nphp4,Nphp4,0,,
Nphs1,Nphs1,0,,
Nphs1as,Nphs1as,0,,
Nphs2,Nphs2,0,,
Npl,Npl,0.0804,-1.6636,1.0169
Nploc4,Nploc4,-0.0193,-1.9015,1.2424
Npm1,Npm1,0.0753,-2.8341,2.3376
Npm2,Npm2,0,,
Npm3,Npm3,0.0484,1.1982,0.6367
Npm3-ps1,Npm3-ps1,0,,
Npn2,Npn2,0,,
Npnt,Npnt,-0.0769,-3.5076,3.3447
Nppa,Nppa,0,,
Nppb,Nppb,0,,
Nppc,Nppc,0,,
Npr1,Npr1,0.0125,-1.3672,0.7655
Npr2,Npr2,0,,
Npr3,Npr3,0,,
Nprl2,Nprl2,0.0119,-0.884,0.424
Nprl3,Nprl3,0.0058,-0.8984,0.433
Nps,Nps,0,,
Npsr1,Npsr1,0,,
Nptn,Nptn,-0.344,-8.4438,16.5125
Nptx1,Nptx1,0,,
Nptx2,Nptx2,0,,
Nptxr,Nptxr,0,,
Npvf,Npvf,0,,
Npw,Npw,0,,
Npy,Npy,0,,
Npy1r,Npy1r,0,,
Npy2r,Npy2r,0,,
Npy5r,Npy5r,0,,
Npy6r,Npy6r,0,,
Nqo1,Nqo1,0,,
Nqo2,Nqo2,0.0324,0.1985,0.0743
Nr0b1,Nr0b1,0,,
Nr0b2,Nr0b2,0,,
Nr1d1,Nr1d1,-0.0034,-1.431,0.8169
Nr1d2,Nr1d2,-0.006,-2.588,2.0153
Nr1h2,Nr1h2,0.0558,-1.5069,0.88
Nr1h3,Nr1h3,0,,
Nr1h4,Nr1h4,0,,
Nr1h5,Nr1h5,0,,
Nr1i2,Nr1i2,0,,
Nr1i3,Nr1i3,0,,
Nr2c1,Nr2c1,-0.0041,-0.9029,0.4359
Nr2c2,Nr2c2,-0.0692,-4.2746,4.7178
Nr2c2ap,Nr2c2ap,0.0019,-1.3776,0.7738
Nr2e1,Nr2e1,0,,
Nr2e3,Nr2e3,0,,
Nr2f1,Nr2f1,0.0025,0.6927,0.3111
Nr2f2,Nr2f2,0,,
Nr2f6,Nr2f6,-0.0258,-2.4947,1.8994
Nr3c1,Nr3c1,0.1044,-1.9187,1.2595
Nr3c2,Nr3c2,-0.008,-0.3482,0.1381
Nr4a1,Nr4a1,-0.0926,-3.4095,3.1865
Nr4a2,Nr4a2,0,,
Nr4a3,Nr4a3,-0.0247,-4.0854,4.3566
Nr5a1,Nr5a1,0,,
Nr5a2,Nr5a2,0,,
Nr6a1,Nr6a1,-0.0094,-2.0286,1.3716
Nradd,Nradd,-0.0067,-0.7342,0.3346
Nrap,Nrap,0,,
Nrarp,Nrarp,0.0021,0.6927,0.3111
Nras,Nras,-0.0026,-3.379,3.1382
Nrbf2,Nrbf2,0.0102,0.1826,0.068
Nrbp1,Nrbp1,-0.0056,-4.0619,4.3127
Nrbp2,Nrbp2,0,,
Nrcam,Nrcam,0,,
Nrd1,Nrd1,0.1248,-0.7982,0.3719
Nrf1,Nrf1,-0.0147,-2.5616,1.9822
Nrg1,Nrg1,0,,
Nrg2,Nrg2,0.0017,0.6927,0.3111
Nrg3,Nrg3,0,,
Nrg4,Nrg4,0,,
Nrgn,Nrgn,0.1238,1.5428,0.9106
Nrip1,Nrip1,-0.0778,-3.5427,3.4023
Nrip2,Nrip2,0,,
Nrip3,Nrip3,0,,
Nrk,Nrk,0,,
Nrl,Nrl,0,,
Nrm,Nrm,0.0749,2.2337,1.5934
Nrn1,Nrn1,0,,
Nrn1l,Nrn1l,-0.0017,-1.431,0.8169
Nrp1,Nrp1,-0.6524,-9.5772,21.0012
Nrp2,Nrp2,-0.0686,-3.7941,3.8292
Nrsn1,Nrsn1,0.0568,1.5623,0.9274
Nrsn2,Nrsn2,0,,
Nrtn,Nrtn,0,,
Nrxn1,Nrxn1,0,,
Nrxn2,Nrxn2,0,,
Nrxn3,Nrxn3,0,,
Nsa2,Nsa2,0.0323,-3.7508,3.7539
Nsd1,Nsd1,-0.0461,-4.0764,4.3397
Nsdhl,Nsdhl,-0.034,-1.8591,1.2006
Nsf,Nsf,0.07,-0.3086,0.1205
Nsfl1c,Nsfl1c,0.0073,-0.6001,0.2609
Nsg1,Nsg1,0,,
Nsg2,Nsg2,0,,
Nsl1,Nsl1,0.0104,1.2069,0.6431
Nsmaf,Nsmaf,0.0076,-1.3307,0.7369
Nsmce1,Nsmce1,0.0012,-3.0633,2.6597
Nsmce2,Nsmce2,-0.0233,-2.9335,2.4747
Nsmce4a,Nsmce4a,0.003,-2.2919,1.6594
Nsun2,Nsun2,0.0335,-1.2078,0.6437
Nsun3,Nsun3,-0.0103,-2.4881,1.8914
Nsun4,Nsun4,-0.0477,-1.8264,1.1688
Nsun5,Nsun5,0.0015,-0.4922,0.2058
Nsun6,Nsun6,-0.0091,-1.3072,0.7187
Nsun7,Nsun7,0,,
Nt5c,Nt5c,0.0018,-1.4839,0.8606
Nt5c1a,Nt5c1a,0,,
Nt5c1b,Nt5c1b,0,,
Nt5c2,Nt5c2,-0.0233,-4.6917,5.567
Nt5c3,Nt5c3,-0.0139,-2.8179,2.3157
Nt5c3l,Nt5c3l,-0.0048,-1.8012,1.1447
Nt5dc1,Nt5dc1,-0.0125,-0.9067,0.4382
Nt5dc2,Nt5dc2,0.0186,1.3956,0.7883
